starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 28 18:09:58 2022	1656432598	293	392	686	392
Tue Jun 28 18:08:35 2022	1656432515	385	301	686	301
Tue Jun 28 18:11:09 2022	1656432669	581	105	686	105
Tue Jun 28 18:07:57 2022	1656432477	487	200	687	200
Tue Jun 28 18:08:42 2022	1656432522	498	189	687	189
Tue Jun 28 18:08:48 2022	1656432528	192	496	688	494
Tue Jun 28 18:08:48 2022	1656432528	397	291	688	291
Tue Jun 28 18:09:15 2022	1656432555	390	299	688	299
Tue Jun 28 18:11:09 2022	1656432669	581	108	689	107
Tue Jun 28 18:09:15 2022	1656432555	385	305	689	305
Tue Jun 28 18:08:39 2022	1656432519	196	493	689	493
Tue Jun 28 18:08:48 2022	1656432528	196	494	689	492
Tue Jun 28 18:08:30 2022	1656432510	296	393	689	393
