starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 28 19:10:54 2022	1656436254	82	2611	2692	2610
Tue Jun 28 19:13:21 2022	1656436401	65	2628	2693	2628
Tue Jun 28 19:12:37 2022	1656436357	69	2624	2693	2623
Tue Jun 28 19:10:32 2022	1656436232	86	2607	2693	2607
Tue Jun 28 19:12:12 2022	1656436332	93	2602	2694	2601
Tue Jun 28 19:10:47 2022	1656436247	102	2593	2695	2593
Tue Jun 28 19:12:09 2022	1656436329	82	2613	2695	2613
Tue Jun 28 19:12:45 2022	1656436365	85	2610	2695	2609
Tue Jun 28 19:09:52 2022	1656436192	69	2626	2695	2626
Tue Jun 28 19:12:06 2022	1656436326	64	2631	2695	2631
Tue Jun 28 19:13:09 2022	1656436389	83	2613	2696	2613
Tue Jun 28 19:11:09 2022	1656436269	97	2599	2696	2599
Tue Jun 28 19:12:04 2022	1656436324	90	2607	2697	2607
Tue Jun 28 19:13:10 2022	1656436390	64	2633	2697	2633
Tue Jun 28 19:11:16 2022	1656436276	70	2627	2697	2627
Tue Jun 28 19:11:02 2022	1656436262	86	2612	2697	2611
Tue Jun 28 19:11:04 2022	1656436264	83	2614	2697	2614
Tue Jun 28 19:11:16 2022	1656436276	64	2633	2698	2633
Tue Jun 28 19:10:08 2022	1656436208	142	2556	2698	2556
Tue Jun 28 19:12:42 2022	1656436362	66	2632	2698	2632
Tue Jun 28 19:12:27 2022	1656436347	85	2613	2698	2613
Tue Jun 28 19:11:16 2022	1656436276	87	2611	2698	2611
Tue Jun 28 19:10:18 2022	1656436218	87	2611	2698	2611
Tue Jun 28 19:11:06 2022	1656436266	68	2630	2698	2630
Tue Jun 28 19:12:08 2022	1656436328	64	2635	2699	2635
Tue Jun 28 19:10:53 2022	1656436253	66	2633	2699	2633
Tue Jun 28 19:10:53 2022	1656436253	64	2634	2699	2634
Tue Jun 28 19:11:32 2022	1656436292	92	2607	2699	2607
Tue Jun 28 19:09:31 2022	1656436171	62	2637	2699	2637
Tue Jun 28 19:09:44 2022	1656436184	81	2619	2700	2618
Tue Jun 28 19:12:27 2022	1656436347	88	2611	2700	2611
Tue Jun 28 19:11:41 2022	1656436301	83	2617	2700	2617
Tue Jun 28 19:10:15 2022	1656436215	66	2634	2700	2634
Tue Jun 28 19:10:55 2022	1656436255	66	2633	2700	2633
Tue Jun 28 19:10:21 2022	1656436221	68	2632	2700	2632
Tue Jun 28 19:13:07 2022	1656436387	85	2616	2700	2615
Tue Jun 28 19:09:48 2022	1656436188	70	2631	2700	2630
Tue Jun 28 19:09:41 2022	1656436181	98	2603	2701	2603
Tue Jun 28 19:11:30 2022	1656436290	82	2619	2701	2619
Tue Jun 28 19:10:20 2022	1656436220	83	2618	2701	2618
Tue Jun 28 19:12:37 2022	1656436357	94	2607	2701	2607
Tue Jun 28 19:12:13 2022	1656436333	71	2630	2701	2629
Tue Jun 28 19:11:03 2022	1656436263	69	2632	2701	2632
Tue Jun 28 19:11:21 2022	1656436281	65	2636	2701	2636
Tue Jun 28 19:11:09 2022	1656436269	101	2601	2701	2600
Tue Jun 28 19:11:19 2022	1656436279	66	2636	2701	2635
Tue Jun 28 19:10:44 2022	1656436244	64	2637	2702	2637
Tue Jun 28 19:12:37 2022	1656436357	76	2626	2702	2626
Tue Jun 28 19:11:06 2022	1656436266	83	2620	2702	2619
Tue Jun 28 19:12:01 2022	1656436321	65	2637	2702	2637
Tue Jun 28 19:11:43 2022	1656436303	82	2620	2702	2620
Tue Jun 28 19:13:20 2022	1656436400	116	2587	2702	2587
Tue Jun 28 19:10:27 2022	1656436227	67	2636	2703	2636
Tue Jun 28 19:11:23 2022	1656436283	87	2615	2703	2615
Tue Jun 28 19:10:40 2022	1656436240	66	2636	2703	2636
Tue Jun 28 19:12:51 2022	1656436371	85	2618	2703	2618
Tue Jun 28 19:12:35 2022	1656436355	69	2634	2703	2634
Tue Jun 28 19:09:51 2022	1656436191	83	2620	2703	2620
Tue Jun 28 19:12:11 2022	1656436331	82	2622	2703	2621
Tue Jun 28 19:12:14 2022	1656436334	65	2639	2704	2639
Tue Jun 28 19:09:34 2022	1656436174	70	2634	2704	2634
Tue Jun 28 19:11:21 2022	1656436281	88	2616	2704	2616
Tue Jun 28 19:11:39 2022	1656436299	83	2621	2704	2621
Tue Jun 28 19:11:55 2022	1656436315	64	2640	2704	2640
Tue Jun 28 19:13:18 2022	1656436398	87	2617	2704	2617
Tue Jun 28 19:11:47 2022	1656436307	72	2633	2705	2633
Tue Jun 28 19:11:37 2022	1656436297	71	2635	2705	2634
Tue Jun 28 19:11:43 2022	1656436303	88	2617	2706	2617
Tue Jun 28 19:11:26 2022	1656436286	64	2642	2706	2642
Tue Jun 28 19:09:40 2022	1656436180	86	2621	2707	2620
Tue Jun 28 19:11:41 2022	1656436301	67	2640	2707	2640
Tue Jun 28 19:11:41 2022	1656436301	65	2643	2707	2643
Tue Jun 28 19:10:40 2022	1656436240	87	2622	2709	2622
Tue Jun 28 19:13:09 2022	1656436389	84	2626	2710	2626
Tue Jun 28 19:09:58 2022	1656436198	88	2623	2711	2623
Tue Jun 28 19:12:58 2022	1656436378	69	2643	2712	2643
Tue Jun 28 19:13:23 2022	1656436403	68	2647	2715	2647
Tue Jun 28 19:09:58 2022	1656436198	66	2650	2715	2649
Tue Jun 28 19:10:17 2022	1656436217	88	2647	2735	2647
Tue Jun 28 19:12:43 2022	1656436363	93	2643	2736	2642
Tue Jun 28 19:12:43 2022	1656436363	85	2654	2739	2654
Tue Jun 28 19:11:19 2022	1656436279	85	2658	2743	2658
Tue Jun 28 19:11:08 2022	1656436268	87	2658	2745	2658
Tue Jun 28 19:12:02 2022	1656436322	88	2657	2745	2657
Tue Jun 28 19:10:47 2022	1656436247	64	2684	2748	2684
Tue Jun 28 19:13:12 2022	1656436392	88	2661	2749	2661
Tue Jun 28 19:10:52 2022	1656436252	70	2689	2759	2689
Tue Jun 28 19:11:08 2022	1656436268	64	2695	2760	2695
Tue Jun 28 19:11:29 2022	1656436289	65	2696	2761	2696
Tue Jun 28 19:12:13 2022	1656436333	67	2702	2769	2702
Tue Jun 28 19:11:31 2022	1656436291	67	2715	2782	2715
Tue Jun 28 19:11:18 2022	1656436278	71	2713	2784	2713
Tue Jun 28 19:11:29 2022	1656436289	65	2720	2785	2720
Tue Jun 28 19:10:49 2022	1656436249	77	2708	2786	2708
Tue Jun 28 19:12:49 2022	1656436369	96	2690	2786	2690
Tue Jun 28 19:10:43 2022	1656436243	66	2721	2787	2721
Tue Jun 28 19:12:16 2022	1656436336	83	2704	2787	2704
Tue Jun 28 19:12:25 2022	1656436345	85	2702	2787	2702
Tue Jun 28 19:10:49 2022	1656436249	84	2703	2787	2703
Tue Jun 28 19:10:02 2022	1656436202	64	2725	2789	2725
Tue Jun 28 19:09:34 2022	1656436174	87	2704	2791	2704
Tue Jun 28 19:13:18 2022	1656436398	89	2702	2791	2702
Tue Jun 28 19:12:33 2022	1656436353	82	2710	2792	2710
Tue Jun 28 19:12:18 2022	1656436338	65	2728	2793	2728
Tue Jun 28 19:12:38 2022	1656436358	65	2729	2793	2728
Tue Jun 28 19:10:31 2022	1656436231	82	2712	2794	2711
Tue Jun 28 19:12:00 2022	1656436320	68	2726	2795	2726
Tue Jun 28 19:11:25 2022	1656436285	85	2710	2795	2710
Tue Jun 28 19:13:14 2022	1656436394	64	2731	2795	2731
Tue Jun 28 19:12:15 2022	1656436335	73	2722	2795	2722
Tue Jun 28 19:13:21 2022	1656436401	63	2733	2796	2733
Tue Jun 28 19:11:49 2022	1656436309	85	2711	2796	2711
Tue Jun 28 19:12:20 2022	1656436340	82	2714	2796	2714
Tue Jun 28 19:11:59 2022	1656436319	76	2720	2796	2720
Tue Jun 28 19:12:01 2022	1656436321	72	2724	2796	2724
Tue Jun 28 19:10:30 2022	1656436230	87	2710	2797	2709
Tue Jun 28 19:10:48 2022	1656436248	66	2731	2797	2731
Tue Jun 28 19:11:18 2022	1656436278	64	2733	2797	2732
Tue Jun 28 19:11:00 2022	1656436260	80	2717	2797	2716
Tue Jun 28 19:09:38 2022	1656436178	72	2725	2797	2724
